,year,good_name,count
0,2022,Noise,1130
1,2022,ELDEN RING,609
2,2022,RESIDENT EVIL 2 - Deluxe Edition,584
3,2022,RESIDENT EVIL 2,566
4,2022,Squad,531
5,2022,RESIDENT EVIL 7 - Gold Edition,516
6,2022,Potion Craft: Alchemist Simulator,491
7,2022,Detroit: Become Human,487
8,2022,Resident Evil 7,484
9,2022,Dead Cells,432
10,2022,Pathfinder: Wrath of the Righteous - Enhanced Edition,429
11,2022,Necrosmith,360
12,2022,Apex Legends: 4350 Coins,354
13,2022,Winter,347
14,2022,Crusader Kings III: Friends & Foes - DLC,345
15,2022,Bus Driver Simulator,342
16,2022,Apex Legends: 2150 Coins,339
17,2022,Neon White,319
18,2022,Little Nightmares,316
19,2022,Apex Legends: 1000 Coins - DLC,312
20,2022,Little Nightmares II,264
21,2022,Elden Ring,259
22,2022,Core Keeper,258
23,2022,Stellaris,235
24,2022,Stellaris: Overlord Expansion Pack - DLC,219
25,2022,Hitman: Absolution,216
26,2022,Crusader Kings III: Royal Edition,213
27,2022,Stellaris: Toxoids Species Pack - DLC,190
28,2022,Starship Troopers - Terran Command,188
29,2022,Crusader Kings III,187
30,2022,Pathfinder: Wrath of the Righteous - Season Pass - DLC,187
31,2022,Beholder 3,179
32,2022,Dead Cells: The Queen and the Sea - DLC,174
33,2022,Cities: Skylines,167
34,2022,Hearts of Iron IV: By Blood Alone - DLC,160
35,2022,Barotrauma,159
36,2022,Metro Simulator,159
37,2022,Hero's Hour,158
38,2022,Victoria 3,157
39,2022,Mount & Blade II: Bannerlord,152
40,2022,Northgard,149
41,2022,Beholder,148
42,2022,8infinity,146
43,2022,Scorn (STEAM),145
44,2022,METAL GEAR RISING: REVENGEANCE,143
45,2022,VCB: Why City 4k,142
46,2022,Cities: Skylines - Airports - DLC,140
47,2022,Dead Cells: Road to the Sea BUNDLE,137
48,2022,Gothic Universe Edition,136
49,2022,Ori and the Blind Forest - Definitive Edition,135
50,2022,BlackSmith HIT,131
51,2022,HITMAN™ 2 – GOLD EDITION,129
52,2022,Hearts of Iron IV,124
53,2022,Heavy Rain,124
54,2022,Last Room,123
55,2022,Devil May Cry 5 Deluxe + Vergil,122
56,2022,ELEX II,122
57,2022,The Mooseman,120
58,2022,Outer Wilds,120
59,2022,Beyond: Two Souls,119
60,2022,Orcs Must Die! 3,115
61,2022,MechWarrior 5: Mercenaries,115
62,2022,World War III: Black Gold,114
63,2022,Fly O'Clock,114
64,2022,TEKKEN 7 - Definitive Edition,114
65,2022,Hearts of Iron IV: No Step Back - DLC,113
66,2022,Stellaris: Aquatics Species Pack - DLC,111
67,2022,Dead Cells: Fatal Falls - DLC,109
68,2022,Partisans 1941,109
69,2022,Cities: Skylines - Plazas & Promenades - DLC,107
70,2022,SOLASTA: Crown of the Magister,106
71,2022,PlateUp!,105
72,2022,Mr Blaster,100
73,2022,Little Nightmares: Complete Edition,100
74,2022,Wartales,98
75,2022,Forgive Me Father,96
76,2022,Timberman,94
77,2022,SIFU (Epic),92
78,2022,Titan Quest: Eternal Embers - DLC,91
79,2022,Silent Hill Homecoming,90
80,2022,Wickland,90
81,2022,The Dark Pictures Anthology: Little Hope,89
82,2022,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Road to Boruto,89
83,2022,The Life and Suffering of Sir Brante,89
84,2022,Masky,89
85,2022,Dead Cells: DLCs Only BUNDLE - DLC,89
86,2022,Solasta: Crown of the Magister - Lost Valley - DLC,88
87,2022,Devil May Cry 5 + Vergil,87
88,2022,Little Nightmares II - Deluxe Edition,86
89,2022,Dead Rising 4,86
90,2022,Devil May Cry 5 - Playable Character: Vergil - DLC,85
91,2022,Shadow Tactics: Blades of the Shogun,85
92,2022,The Dark Pictures Anthology: House of Ashes,85
93,2022,Stellaris: Nemesis - DLC,82
94,2022,The Darkest Tales,82
95,2022,Dome Keeper,81
96,2022,The Uncertain: Light at the end,81
97,2022,IXION,81
98,2022,Witch It,80
99,2022,House Flipper - Pets - DLC,79
100,2022,Graveyard Keeper,79
101,2022,TEKKEN 7,77
102,2022,Workers & Resources: Soviet Republic,77
103,2022,METAL GEAR SOLID V: The Definitive Experience,76
104,2022,Dead Cells: The Bad Seed - DLC,76
105,2022,Kingdom Come: Deliverance - Royal Edition,76
106,2022,Outer Wilds - Echoes of the Eye - DLC,75
107,2022,ELEX,75
108,2022,Stellaris: Federations - DLC,75
109,2022,Dark Souls: Remastered,75
110,2022,THE SIMS 4: CITY LIVING - DLC,74
111,2022,Apex Legends: 6700 Coins,74
112,2022,X-Blades,73
113,2022,Pathologic 2,73
114,2022,NARUTO TO BORUTO: SHINOBI STRIKER,73
115,2022,Tales of Arise,72
116,2022,Cities: Skylines - Green Cities - DLC,72
117,2022,Graveyard Keeper - Better Save Soul - DLC,71
118,2022,Stellaris: Utopia - DLC,71
119,2022,Stellaris: Apocalypse - DLC,69
120,2022,Quantum Break,68
121,2022,Journey,67
122,2022,The Guild 3,66
123,2022,Terraformers,66
124,2022,Stellaris: MegaCorp - DLC,66
125,2022,Operation: Tango,66
126,2022,Hearts of Iron IV: Battle for the Bosporus - DLC,66
127,2022,Darksiders Genesis,65
128,2022,Crusader Kings III: Royal Court - DLC,65
129,2022,This is the Police,65
130,2022,Cyberline Racing,64
131,2022,House Flipper,64
132,2022,Gorky 17,64
133,2022,Solasta: Crown of the Magister - Primal Calling - DLC,63
134,2022,16bit Trader,61
135,2022,BATTLETECH,61
136,2022,The Dark Pictures Triple Pack,60
137,2022,Apex Legends: 11500 Coins,59
138,2022,Europa Universalis IV,59
139,2022,Tales of Berseria,59
140,2022,Mortal Shell,58
141,2022,Kingdom Come: Deliverance,58
142,2022,Europa Universalis IV: Lions of the North - DLC,58
143,2022,Crazy Machines 3,58
144,2022,Stellaris: Ancient Relics Story Pack - DLC,58
145,2022,Hearts of Iron IV: La Resistance - DLC,57
146,2022,Okami HD,57
147,2022,Cities: Skylines - Content Creator Pack: Map Pack - DLC,56
148,2022,Sword Art Online: Hollow Realization - Deluxe Edition,56
149,2022,Empire of Sin,55
150,2022,AER Memories of Old,55
151,2022,Orcs Must Die! 3 - Tipping the Scales DLC - DLC,55
152,2022,Cities: Skylines - Campus - DLC,54
153,2022,Pathfinder: Wrath of the Righteous - Season Pass 2 - DLC,54
154,2022,Magicka,54
155,2022,Tom Clancy's Rainbow Six: Siege,54
156,2022,Strategy & Tactics: Wargame Collection - USSR vs USA! - DLC,53
157,2022,Stellaris: Leviathans Story Pack - DLC,52
158,2022,Edna & Harvey: The Breakout - Anniversary Edition,52
159,2022,Cities: Skylines - After Dark - DLC,52
160,2022,Cities: Skylines - Industries - DLC,52
161,2022,Phoenix Point: Year One Edition,51
162,2022,ELDEN RING - Deluxe Edition,51
163,2022,Elden Ring - Deluxe Edition,51
164,2022,THE SIMS 4: ISLAND LIVING - DLC,51
165,2022,Contra Anniversary Collection,51
166,2022,Code Vein: Deluxe Edition,51
167,2022,Hearts of Iron IV: Man the Guns - DLC,50
